"brokertitle","type","price","beds","bath","propertysqft","address","state","administrative_area_level_2","latitude","longitude","postcode"
Corcoran East Side,Condo for sale,1695000.0,1,2,1072.0,"70 Washington St Ph R","Brooklyn, NY ",United States,40.7020349,-73.9899069,"11201"
Compass Greater NY LLC,Co-op for sale,449000.0,2,1,764.0,"261-36 Langston Ave Unit 2ND","Glen Oaks, NY ",New York,40.7526861,-73.7166669,"11004"
COMPASS,Condo for sale,1700000.0,2,2,1135.0,"2 Cornelia St Apt 203","Manhattan, NY ",New York,40.7315509,-74.0013914,"10014"
Corcoran Park Avenue South,Condo for sale,12995000,4,4,4155.0,"10 Greene St","New York, NY ",United States,40.7207039,-74.0027289,"10013"
Real Broker Llc,Co-op for sale,295000.0,2,1,613.0,"552 W 141st St Apt 2D","New York, NY ",New York,40.8233518,-73.9515728,"10031"
Corcoran Park Avenue South,Pending,825000.0,2,2,930.0,"41-18 27th St Apt 1A","New York, NY ",New York,40.7515161,-73.9389442,"11101"
EXIT REALTY TOP PROPERTIES,Multi-family home for sale,938000.0,5,3,1890.0,"1838 Brown St","Brooklyn, NY ","11229",40.6065668,-73.9413437,"11229"
J. Sikar Realty,Co-op for sale,300000.0,2,1,800.0,"2620 Ocean Pkwy Apt 3F","Brooklyn, NY ",New York,40.5860215,-73.9668364,"11235"
Corcoran East Side,Condo for sale,1100000.0,2,2,2184.207862,"77 W 55th St # 2AK","New York, NY ",New York,40.7630485,-73.9776229,"10019"
Douglas Elliman - 575 Madison Ave,Condo for sale,5000000.0,2,2,1780.0,"641 Fifth Ave Unit 42H","New York, NY ",New York,40.7592091,-73.9760875,"10022"
Douglas Elliman - 3544 Johnson Ave,House for sale,2500000.0,8,4,6425.0,"14 Stuyvesant Ave","Brooklyn, NY ",United States,40.6960918,-73.9349507,"11221"
COMPASS,Condo for sale,425000.0,1,1,603.0,"640 Ditmas Ave Apt 29","Brooklyn, NY ",New York,40.6360061,-73.971649,"11218"
COMPASS,Co-op for sale,280000.0,3,1,2184.207862,"25 Tudor City Pl Apt 2006","Manhattan, NY ",United States,40.7486808,-73.9705383,"10017"
RE MAX Edge,House for sale,1149000.0,3,2,1660.0,"1714 E 29th St","Brooklyn, NY ",United States,40.6093215,-73.9448683,"11229"
The Co-op Connection,Co-op for sale,410000.0,2,2,2184.207862,"110-55 72nd Rd Unit 309","Forest Hills, NY ",New York,40.7203199,-73.84052,"11375"
Sany Realty Group Llc,Co-op for sale,268000.0,1,1,660.0,"26-25 141 St Unit 5A","Flushing, NY ",New York,40.7739672,-73.8277862,"11354"
Brown Harris Stevens,Co-op for sale,6000000.0,4,4,2184.207862,"480 Park Avenue Ave Unit 18H","Manhattan, NY ",New York,40.7625546,-73.9703842,"10022"
Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,4650000.0,3,3,2184.207862,"150 Central Park S","New York, NY ",United States,40.7661258,-73.9779145,"10019"
Corcoran East Side,House for sale,24500000,6,8,8400.0,"52 E 66th St","New York, NY ",United States,40.7675628,-73.967656,"10065"
Jamie & Connie Real Estate Grp,Condo for sale,660000.0,2,2,970.0,"82-25 Queens Blvd Unit 4A","Elmhurst, NY ",New York,40.7376925,-73.8803546,"11373"
Homefinders of SI Inc.,House for sale,465000.0,2,2,1048.0,"12 Maple Ter","Staten Island, NY ",United States,40.5636372,-74.1009652,"10306"
"Nest Seekers International, Midtown",Condo for sale,1175000.0,2,2,1072.0,"90 William St Apt 6C","New York, NY ",New York,40.7081041,-74.0074731,"10038"
"Ronald Greene, Realtor",Pending,698999.0,3,2,2184.207862,"149-47 115th St","South Ozone Park, NY ",United States,40.6680173,-73.8253534,"11420"
Corcoran Park Slope,Pending,5250000.0,4,4,2184.207862,"18 Fillmore Pl","Brooklyn, NY ",United States,40.7140169,-73.9587962,"11211"
Century 21 Realty First,House for sale,1078000.0,3,2,1260.0,"5848 150th St","Flushing, NY ",United States,40.7421583,-73.8191116,"11355"
"BEN BAY REALTY CO OF BAY RIDGE, LLC",Co-op for sale,349000.0,1,1,652.0,"8301 Ridge Blvd Apt 4D","Brooklyn, NY ",New York,40.6259955,-74.0323073,"11209"
Exp Realty,Co-op for sale,269995.0,1,1,2184.207862,"61-20 Grand Central Pkwy Unit C102","Forest Hills, NY ",New York,40.7379227,-73.8470718,"11375"
RE MAX Edge,Multi-family home for sale,1590000.0,7,4,1739.0,"144 Bay 50th St","Brooklyn, NY ","11214",40.5859774,-73.9869629,"11214"
R New York,Contingent,375000.0,1,1,900.0,"10 Bay Street Lndg Apt 1G","Staten Island, NY ",New York,40.638118,-74.073964,"10301"
Corcoran Brooklyn Heights,Multi-family home for sale,6999000.0,6,3,2184.207862,"108 Willow St","Brooklyn, NY ",United States,40.697795,-73.995861,"11201"
LoHo Realty Inc,Co-op for sale,1398000.0,4,2,2184.207862,"530 Grand St Unit D4C4","New York City, NY ",United States,40.7147871,-73.9809765,"10002"
E Z Sell Realty,Co-op for sale,279000.0,1,1,2184.207862,"61-20 Grand Central Pkwy Unit C500","Forest Hills, NY ",United States,40.7379227,-73.8470718,"11375"
Telemundo Realty Corp,Multi-family home for sale,1325000.0,6,4,2184.207862,"29-11 Butler St","East Elmhurst, NY ",United States,40.7635384,-73.8628798,"11369"
Weichert Realtors Evolution Group,House for sale,635000.0,4,2,1684.0,"57 Peacock Loop","Staten Island, NY ",United States,40.5307866,-74.2217959,"10309"
"Tom Crimmins Realty, Ltd.",Contingent,499000.0,3,2,1450.0,"173 Wright St","Staten Island, NY ",United States,40.629123,-74.0811056,"10304"
CENTURY 21 MK Realty,Multi-family home for sale,1100000.0,7,2,1040.0,"118 Miller Ave","Brooklyn, NY ",United States,40.6784973,-73.892987,"11207"
Crossings Realty,Co-op for sale,199000.0,1,1,600.0,"83-52 Talbot St Unit 2G","Kew Gardens, NY ",New York,40.7085553,-73.8279947,"11415"
COMPASS,Co-op for sale,550000.0,2,2,1012.0,"333 E 119th St Apt 6C","Manhattan, NY ",New York,40.7986288,-73.9351095,"10035"
Charles Rutenberg Realty Inc,Co-op for sale,518000.0,3,2,2184.207862,"3304 Junction Blvd Apt 4S","Jackson Heights, NY ",New York,40.7568027,-73.8736566,"11372"
Serhant,Townhouse for sale,26000000,8,6,10940.0,"23 E 67th St","New York, NY ",United States,40.7688699,-73.9678746,"10065"
Brown Harris Stevens,Condo for sale,1250000.0,2,2,1057.0,"575 4th Ave Apt 10D","Brooklyn, NY ",United States,40.6655513,-73.9922171,"11215"
Douglas Elliman - 575 Madison Ave,Townhouse for sale,8750000.0,3,4,4275.0,"133 E 91st St","New York, NY ",United States,40.7829849,-73.9535589,"10128"
Weichert Realtors TMT Group,Co-op for sale,225000.0,1,1,2184.207862,"35-41 205 St Unit 291","Bayside, NY ",New York,40.7667099,-73.78272,"11361"
E Realty International Corp,Multi-family home for sale,1960000.0,8,7,2184.207862,"71-60 163rd St","Fresh Meadows, NY ",United States,40.7286837,-73.8065818,"11365"
"Compass Greater Ny, Llc",Pending,799000.0,4,2,1560.0,"62 Daleham St","Brooklyn, NY ",United States,40.5642806,-74.1530498,"10308"
"Nest Seekers International, Midtown",Condo for sale,500000.0,1,2,2184.207862,"410 Fenimore St","Brooklyn, NY ",United States,40.6586064,-73.9488175,"11225"
COMPASS,Condo for sale,1895000.0,3,2,1929.0,"416 W 52nd St Apt 312","Manhattan, NY ",New York,40.7647904,-73.9890812,"10019"
Coldwell Banker American Homes,Multi-family home for sale,949000.0,5,3,2184.207862,"4551 Kings Hwy","Brooklyn, NY ",United States,40.6290233,-73.9330774,"11234"
Integrity Core Realty,Multi-family home for sale,799000.0,4,2,1716.0,"3032 Brighton 1st St","Brooklyn, NY ",United States,40.5778456,-73.9670934,"11235"
Doreen Greenwood Inc.,House for sale,699000.0,3,3,1280.0,"20 Keen Ct","Brooklyn, NY ",United States,40.5877725,-73.9253044,"11229"
"Robert DeFalco Realty, Inc.",House for sale,900000.0,3,2,1248.0,"917 Hylan Blvd","Staten Island, NY ",United States,40.5981713,-74.0732699,"10305"
EXP Realty,Multi-family home for sale,1235000.0,8,5,2538.0,"235-18 147 Rd","Rosedale, NY ",United States,40.6565969,-73.745832,"11422"
Brown Harris Stevens,Co-op for sale,3295000.0,2,2,2184.207862,"11 E 92nd St Apt 1","Manhattan, NY ",New York,40.7852991,-73.9571579,"10128"
"Robert DeFalco Realty, Inc.",House for sale,399999.0,2,1,1056.0,"123 Roe St","Staten Island, NY ",United States,40.6309242,-74.1212547,"10310"
Keller Williams Realty Group,House for sale,599000.0,4,2,1665.0,"740 E 242nd St","Bronx, NY ",United States,40.9052119,-73.8481704,"10470"
COMPASS,Condo for sale,18950000,4,4,5075.0,"27 Wooster St Unit 7A","Manhattan, NY ",New York,40.7219635,-74.0033414,"10013"
TURFNYC LLC,Condo for sale,2300000.0,2,2,1035.0,"108 W 75th St Apt 3","New York, NY ",New York,40.779437,-73.97814,"10023"
COMPASS,Co-op for sale,420000.0,1,1,2184.207862,"311 E 25th St Apt 6G","Manhattan, NY ",New York,40.7389643,-73.9791144,"10010"
"Robert Defalco Realty, Inc.",Multi-family home for sale,1459000.0,5,4,3500.0,"11 Torrice Loop","Staten Island, NY ",United States,40.521212,-74.230732,"10309"
Sotheby's International Realty - East Side Manhattan Brokerage,Pending,1150000.0,2,2,2184.207862,"67 Park Ave # 9B","New York, NY ",New York,40.74958,-73.9790355,"10016"
Keller Williams Realty Liberty,Pending,299000.0,2,1,2184.207862,"155-21 86 St Unit 3","Howard Beach, NY ",New York,40.6642386,-73.8477653,"11414"
LoHo Realty Inc,Co-op for sale,499000.0,1,1,2184.207862,"575 Grand St Apt E203","New York City, NY ",United States,40.7135079,-73.9794056,"10002"
Houlihan Lawrence Commercial,Condo for sale,510000.0,2,2,972.0,"112 Sunset Blvd Unit 11112","Bronx, NY ",United States,40.806756,-73.853097,"10473"
Douglas Elliman  -111 Fifth Ave,Condo for sale,825000.0,2,2,1001.0,"234 W 148th St Apt 6A","New York, NY ",New York,40.8241865,-73.939702,"10039"
YOUR HOME SOLD GUARANTEED REALTY,House for sale,1150000.0,3,2,1352.0,"84 W 197th St","Bronx, NY ",United States,40.871637,-73.8984353,"10468"
Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,6895000.0,2,2,2114.0,"217 W 57th St Apt 35F","New York, NY ",New York,40.7663935,-73.9809909,"10019"
Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,165000.0,1,1,750.0,"5614 Netherland Ave Apt 4B","Bronx, NY ",New York,40.9047804,-73.9057444,"10471"
"Robert DeFalco Realty, Inc.",House for sale,874900.0,3,4,1500.0,"42 Greenway Ave","Staten Island, NY ",United States,40.5891334,-74.1468153,"10314"
EXP Realty,Multi-family home for sale,1499999.0,8,6,2184.207862,"191 Wyckoff Ave","Brooklyn, NY ",United States,40.7028149,-73.9165356,"11237"
RE MAX Edge,Pending,495000.0,2,2,1100.0,"9967 Shore Rd Apt 7E","Brooklyn, NY ",New York,40.6123382,-74.0356075,"11209"
Corcoran Westside Columbus,Co-op for sale,245000.0,1,1,863.0,"3245 Perry Ave Apt 6C","Bronx, NY ",New York,40.8758111,-73.8765929,"10467"
RE MAX Real Estate Professionals,Condo for sale,565000.0,1,1,804.0,"1721 W 6th St Apt 4B","Brooklyn, NY ",New York,40.6053887,-73.9787595,"11223"
Brown Harris Stevens,Co-op for sale,1950000.0,3,2,1265.0,"1270 Fifth Ave Unit 2T","Manhattan, NY ",New York,40.7957847,-73.9498024,"10029"
Real Broker NY LLC,Multi-family home for sale,699000.0,2,3,2184.207862,"1735 Pacific St","Crown Heights, NY ",United States,40.6769065,-73.9327329,"11213"
Elite Home Sales Inc,House for sale,1248000.0,4,2,2450.0,"3007 Avenue S","Brooklyn, NY ","11229",40.6056129,-73.9396751,"11229"
"Ll Real Estate Services, Llc",Co-op for sale,399000.0,1,1,675.0,"4489 Broadway Apt 5B","New York, NY ",New York,40.8581217,-73.9322431,"10040"
Industrie Residential,Co-op for sale,4895000.0,4,2,3594.0,"35 E 12th St Unit 2AB","New York, NY ",New York,40.7338734,-73.9921219,"10003"
Douglas Elliman - 1995 Broadway,Pending,1295000.0,1,1,2184.207862,"55 Central Park W Apt 12B","New York, NY ",New York,40.7722757,-73.979081,"10023"
Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,825000.0,2,2,2184.207862,"150 W 55th St # 6C","New York, NY ",New York,40.7636334,-73.9803004,"10019"
Madison Estates Sotheby's International Realty,Multi-family home for sale,1849000.0,6,3,3001.0,"219 16th St","Brooklyn, NY ",United States,40.6648195,-73.9891783,"11215"
Corcoran Chelsea/Flatiron,Co-op for sale,699000.0,1,1,700.0,"12 W 72nd St Apt 7H","New York, NY ",New York,40.776434,-73.9771489,"10023"
COMPASS,Pending,420000.0,1,1,2184.207862,"18 E 63rd St Apt 9","Manhattan, NY ",New York,40.7661564,-73.9700846,"10065"
RE/MAX Town & Country,Condo for sale,320000.0,2,1,802.0,"1705 Purdy St Apt 9G","Bronx, NY ",New York,40.840912,-73.8545918,"10462"
COMPASS,Co-op for sale,525000.0,1,1,2184.207862,"1160 3rd Ave Apt 3D","Manhattan, NY ",New York,40.7670221,-73.9628426,"10065"
Tyme Realty Corp,Land for sale,1100000.0,3,2,2184.207862,"112-08 39th Ave","Corona, NY ",United States,40.7526719,-73.854675,"11368"
Brown Harris Stevens - 445 Park Avenue,Co-op for sale,650000.0,2,2,2184.207862,"435 E 57th St Apt 11C","Manhattan, NY ",New York,40.7581185,-73.9620574,"10022"
Corcoran East Side,Co-op for sale,1650000.0,1,1,2184.207862,"170 E 78th St Apt 3C","New York, NY ",New York,40.7737439,-73.9586221,"10075"
"Nest Seekers International, Long Island",Co-op for sale,1425000.0,2,2,2184.207862,"340 E 80th St Apt 17D","New York, NY ",New York,40.7730858,-73.9528703,"10075"
"Robert DeFalco Realty, Inc.",House for sale,339000.0,2,1,700.0,"31 Center Pl","Staten Island, NY ",United States,40.5633004,-74.1004012,"10306"
UNITED NATIONAL REALTY,Pending,599900.0,6,4,2184.207862,"268 Westervelt Ave","Staten Island, NY ",United States,40.6412495,-74.083228,"10301"
Corcoran Park Slope,Co-op for sale,400000.0,1,1,2184.207862,"21-55 34th Ave Apt 15B","Queens, NY ",New York,40.762146,-73.9318948,"11106"
qvtopservice,House for sale,699000.0,3,1,4000.0,"188-28 114th Dr","Saint Albans, NY ",United States,40.6969277,-73.7655056,"11412"
Realty Executives Today,Townhouse for sale,975000.0,3,2,1734.0,"28-31 Hobart St","Woodside, NY ",United States,40.7607676,-73.9056672,"11377"
Dorsa Group Realty,Co-op for sale,199000.0,3,1,325.0,"9430 Ridge Blvd Apt 6D","Brooklyn, NY ",New York,40.6181029,-74.0369047,"11209"
Coldwell Banker Realty,Co-op for sale,350000.0,1,1,700.0,"5800 Arlington Ave Apt 21A","Bronx, NY ",New York,40.9073699,-73.9065578,"10471"
Keller Williams Rlty Landmark,Condo for sale,599000.0,2,2,974.0,"92-29 Queens Blvd Unit 3H","Rego Park, NY ",New York,40.7324713,-73.8670804,"11374"
Radiant Estates LLC,House for sale,639999.0,3,2,1260.0,"27 Clove Way","Staten Island, NY ",United States,40.6207403,-74.1114362,"10301"
"Apaus, Inc",Condo for sale,1300000.0,2,2,1244.0,"10724 71st Rd Apt 9F","Forest Hills, NY ",New York,40.7202429,-73.8430513,"11375"
Keller Williams Ny Realty,Multi-family home for sale,1100000.0,6,3,2837.0,"1038 Throggs Neck Expy Unit Sr","Bronx, NY ",United States,40.8343936,-73.8221101,"10465"
Martino Realty Group,Condo for sale,349900.0,1,1,651.0,"165 Cromwell Ave Apt 2B","Staten Island, NY ",New York,40.5902064,-74.0958034,"10304"
Elizabeth Marra,House for sale,750000.0,2,2,1330.0,"280 Loretto St","Staten Island, NY ",United States,40.5039785,-74.2396555,"10307"
CENTURY 21 Milestone Realty,Multi-family home for sale,1690000.0,6,4,2200.0,"149-07 85 Rd","Briarwood, NY ",United States,40.710749,-73.809486,"11435"
"Nest Seekers International, Long Island",Co-op for sale,325000.0,1,1,2184.207862,"35-45 81st St Unit E1","Queens, NY ",New York,40.7505078,-73.8851355,"11372"
Century 21 Realty First,Multi-family home for sale,2250000.0,12,2,5670.0,"2361 81st St","Brooklyn, NY ","11214",40.602654,-73.9869399,"11214"
Du Chris Realty,Co-op for sale,230000.0,1,1,2184.207862,"33-24 Junction Blvd Unit 6R","Jackson Heights, NY ",United States,40.7557689,-73.8734231,"11372"
Ashford Homes,Multi-family home for sale,1299888.0,10,6,3156.0,"310-312 Hillside Ave","Staten Island, NY ",New York,40.6155667,-74.0869554,"10304"
NoBroker,Multi-family home for sale,925000.0,5,2,2750.0,"543 Hollywood Ave","Bronx, NY ",United States,40.8242389,-73.8173809,"10465"
Get Listed Get Sold NYC,Condo for sale,329000.0,1,2,794.0,"47 Lynn Ct","Staten Island, NY ",United States,40.6210398,-74.1504313,"10314"
RJM Realty Empire Inc.,Multi-family home for sale,1300000.0,10,8,5040.0,"366 Union Ave Unit 4","Staten Island, NY ",New York,40.6274381,-74.1581613,"10303"
RE MAX Edge,Multi-family home for sale,848000.0,5,4,2080.0,"544 Hinsdale St","Brooklyn, NY ",United States,40.6615475,-73.898309,"11207"
H P Greenfield Real Estate Ltd,Co-op for sale,279000.0,1,1,750.0,"1801 Ocean Ave Apt 4A","Brooklyn, NY ",New York,40.6179165,-73.9546305,"11230"
Ashford Homes LLC,Condo for sale,528000.0,1,1,602.0,"1238 63rd St Unit 432","Brooklyn, NY ",New York,40.6275896,-74.0016198,"11219"
Ashford Homes,Multi-family home for sale,1299888.0,11,4,3156.0,"310-312 Hillside Ave","Staten Island, NY ",New York,40.6155667,-74.0869554,"10304"
E Realty International Corp,Co-op for sale,275000.0,1,1,2184.207862,"44-55 Kissena Blvd Unit 5F","Flushing, NY ",New York,40.7528774,-73.8211834,"11355"
Corcoran Park Slope,Condo for sale,1165000.0,1,1,815.0,"338 Berry St Apt 4E","Brooklyn, NY ",New York,40.711969,-73.9649468,"11249"
Staten Island Homes Realty Corp,Multi-family home for sale,1199000.0,6,5,3290.0,"10 Simon Ct","Staten Island, NY ",United States,40.5159256,-74.2361135,"10307"
Exp Realty,Multi-family home for sale,700000.0,6,2,3053.0,"229 W Tremont Ave Unit A","Bronx, NY ",United States,40.852813,-73.9176871,"10453"
Keller Williams Legendary,Condo for sale,472000.0,1,1,700.0,"85-28 Grand Ave Unit 4C","Elmhurst, NY ",New York,40.73531,-73.8812513,"11373"
Fillmore Real Estate,House for sale,549000.0,1,2,2184.207862,"133-38 130th St","South Ozone Park, NY ",United States,40.669243,-73.809973,"11420"
Joanne Costa Realty,Multi-family home for sale,3995000.0,3,2,12200.0,"639 Tompkins Ave","Staten Island, NY ",United States,40.6107278,-74.0701607,"10305"
RE MAX Edge,House for sale,1085000.0,5,3,1200.0,"1625 71st St","Brooklyn, NY ",United States,40.618311,-73.997597,"11204"
Prime Realty,Multi-family home for sale,999000.0,5,3,2184.207862,"7312 Avenue U","Brooklyn, NY ",United States,40.6207744,-73.9055089,"11234"
"Homes R Us Realty of NY, Inc.",Condo for sale,340000.0,1,1,850.0,"2925 W 5th St Apt 12H","Brooklyn, NY ",New York,40.5777691,-73.9719866,"11224"
Brown Harris Stevens,Condo for sale,15500000,5,5,4193.0,"1045 Madison Ave Apt 11","Manhattan, NY ",New York,40.7766637,-73.9615947,"10075"
Nyc Realty Brokers Llc,Co-op for sale,199999.0,1,1,550.0,"1717 E 18th St Apt 5G","Brooklyn, NY ",New York,40.6079619,-73.9549426,"11229"
Douglas Elliman - 2112 Frederick Douglass Blvd,Pending,2495000.0,5,4,4230.0,"217 W 122nd St","New York, NY ",United States,40.807581,-73.9505281,"10027"
First Class Homes Inc,Multi-family home for sale,769000.0,2,2,2184.207862,"101-55 112th St","Richmond Hill South, NY ",United States,40.6868333,-73.8309133,"11419"
eXp Realty BKNY,Multi-family home for sale,1200000.0,4,2,2536.0,"66 Bay 22nd St","Brooklyn, NY ",United States,40.6042861,-74.0012526,"11214"
Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000.0,2,2,1267.0,"473 Hicks St Apt 4","Brooklyn, NY ",New York,40.6866098,-73.9997131,"11231"
"Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000.0,4,4,2554.0,"342 Manhattan St","Staten Island, NY ",United States,40.5016233,-74.2417531,"10307"
American Homes Group,House for sale,998800.0,3,4,2400.0,"1191 Clove Rd","Staten Island, NY ",United States,40.6175,-74.103996,"10301"
American Homes Group,House for sale,998800.0,3,4,2400.0,Waldron Ave,"Staten Island, NY ","10301",40.618648,-74.1019085,"10301"
DEGI - Douglas Elliman Real Estate,For sale,3150000.0,3,2,1952.0,"184 Lincoln Pl Unit 2","Brooklyn, NY ",New York,40.6754035,-73.9742051,"11217"
Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000.0,1,1,2184.207862,"263 W End Ave Apt 14C","Manhattan, NY ",New York,40.7802357,-73.9846328,"10023"
Piastro Realty LLC,Co-op for sale,559500.0,1,1,800.0,"50 Brighton 1 Rd Unit 5H","Brooklyn, NY ",New York,40.5751942,-73.9669983,"11235"
Douglas Elliman - 575 Madison Ave,Co-op for sale,750000.0,1,1,835.0,"333 E 66th St Apt 8E","New York, NY ",New York,40.7643711,-73.9593578,"10065"
Douglas Elliman - 575 Madison Ave,Condo for sale,1900000.0,2,2,1029.0,"150 Rivington St Apt 3G","New York, NY ",New York,40.7193408,-73.9856438,"10002"
Corcoran Williamsburg Bedford,Condo for sale,1250000.0,2,2,1201.0,"1105 Cortelyou Rd # 301","Brooklyn, NY ",New York,40.6400234,-73.9676099,"11218"
COMPASS,Condo for sale,1395000.0,2,2,1182.0,"737 Bergen St Apt 1B","Brooklyn, NY ",New York,40.6787789,-73.9643728,"11238"
Monticello Real Estate Group,Co-op for sale,198000.0,1,1,2184.207862,"83-55 Woodhaven Blvd Unit 1A","Woodhaven, NY ",New York,40.700309,-73.8535466,"11421"
Better Homes and Gardens Real Estate Safari Realty,Contingent,619888.0,3,2,1400.0,"35 Center Pl","Staten Island, NY ",United States,40.5632116,-74.1002521,"10306"
Ashford Homes,Multi-family home for sale,1489000.0,6,2,3780.0,"205 Wiman Ave","Staten Island, NY ",United States,40.5395319,-74.1450877,"10308"
Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2,15200.0,"4 E 79th St","New York, NY ",United States,40.7765613,-73.9633167,"10075"
Serhant,Condo for sale,1595000.0,3,3,1413.0,"924 Lafayette Ave Unit Ph","Brooklyn, NY ",United States,40.6915139,-73.935444,"11221"
Douglas Elliman - 575 Madison Ave,Condo for sale,655000.0,3,2,803.0,"1504 Jefferson Ave Unit Gardenb","Brooklyn, NY ",United States,40.6967268,-73.9074036,"11237"
Serhant,Condo for sale,1175000.0,2,2,1115.0,"924 Lafayette Ave Apt 2","Brooklyn, NY ",New York,40.6915139,-73.935444,"11221"
E Realty International Corp,Multi-family home for sale,2880000.0,9,2,2350.0,"16-33 166th St","Whitestone, NY ",United States,40.7832094,-73.7967588,"11357"
Momentum Real Estate LLC,Multi-family home for sale,798000.0,3,4,2150.0,"425 Father Capodanno Blvd","Staten Island, NY ",United States,40.5874844,-74.0701056,"10305"
"Apaus, Inc",Land for sale,1685000.0,3,2,2184.207862,"519 Fairview Ave","Ridgewood, NY ",United States,40.7083434,-73.9081614,"11385"
Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4,4492.0,"111 W 57th St # 50","New York, NY ",New York,40.764953,-73.977568,"10019"
"Dom Realty, Inc",Land for sale,2550000.0,3,2,2184.207862,"234 Ocean View Ave","Brooklyn, NY ",United States,40.5785288,-73.9655666,"11235"
Gosen Properties Inc,Foreclosure,269000.0,5,2,2184.207862,"24149 148th Dr","Rosedale, NY ",United States,40.6534433,-73.741373,"11422"
"Tom Marco Real Estate, Inc.",House for sale,595000.0,3,1,1316.0,"1509 E 48th St","Brooklyn, NY ",United States,40.6239146,-73.9291226,"11234"
Engel & Volkers Brownstone Brooklyn,Condo for sale,215000.0,1,1,625.0,"195 Prince St Unit 1LL","New York, NY ",New York,40.7267732,-74.002538,"10012"
Built by Toll Brothers,For sale,950000.0,1,1,621.0,The Rockwell # 3A,"New York, NY ",United States,40.7986579,-73.9679035,"10025"
Sowae Corp,House for sale,314000.0,3,1,1572.0,"850 E 39th St","Brooklyn, NY ",United States,40.6362368,-73.939679,"11210"
Brown Harris Stevens,Condo for sale,395000.0,5,1,1000.0,"110 E 71st St Unit Medical","Manhattan, NY ",United States,40.7700395,-73.9638872,"10021"
Prospes Real Estate Corp,Multi-family home for sale,600000.0,2,2,2184.207862,"1406 Mac Donough Pl","Bronx, NY ",United States,40.8429545,-73.8249591,"10465"
EXP Realty,Multi-family home for sale,790000.0,6,3,2520.0,"78 Mountainview Ave","Staten Island, NY ",United States,40.6105856,-74.1268175,"10314"
STROFFOLINO REALTY LLC,Co-op for sale,539000.0,2,2,1100.0,"9425 Shore Rd Apt 4F","Brooklyn, NY ",New York,40.6170731,-74.0383836,"11209"
Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1295000.0,4,2,1995.0,"2501 Palisade Ave Apt H2","Bronx, NY ",New York,40.8809873,-73.9224337,"10463"
Sowae Corp,House for sale,245000.0,3,1,2184.207862,"2942 Lurting Ave","Bronx, NY ",United States,40.8690109,-73.8564445,"10469"
Americas Real Estate Advisors,House for sale,400000.0,7,3,2385.0,"340 E 234th St","Bronx, NY ",United States,40.8969146,-73.8654984,"10470"
Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8,12000.0,"25 Riverside Dr","New York, NY ",United States,40.782238,-73.9846322,"10023"
Ortiz Home Selling Team Llc,Co-op for sale,279900.0,1,1,900.0,"1020 Grand Concourse Apt 14D","Bronx, NY ",New York,40.8301222,-73.9202611,"10451"
Platzner International Group,Co-op for sale,165000.0,1,1,875.0,"205 E 238th St Apt 1J","Bronx, NY ",New York,40.8994229,-73.8706379,"10470"
Douglas Elliman - 664 Fulton,Co-op for sale,270000.0,1,1,2184.207862,"2155 82nd St Apt 5O","Brooklyn, NY ",New York,40.6047809,-73.9920476,"11214"
Momentum Real Estate Llc,House for sale,599000.0,3,2,780.0,"459 Raritan Ave","Staten Island, NY ",United States,40.5880538,-74.0858781,"10305"
"Tom Crimmins Realty, Ltd.",House for sale,779000.0,4,2,2188.0,"122 Hamilton Ave","Staten Island, NY ",United States,40.6445045,-74.0818972,"10301"
Keystone Realty USA Corp,Co-op for sale,169000.0,3,1,2184.207862,"72-61 113 St Unit 4B","Forest Hills, NY ",New York,40.7205894,-73.8359422,"11375"
Halvatzis Realty Inc,Co-op for sale,225000.0,1,1,2184.207862,"21-68 35th St Unit 5D","Astoria, NY ",New York,40.7753572,-73.9085482,"11105"
COMPASS,Co-op for sale,865000.0,1,1,2184.207862,"407 Park Ave S Apt 11D","Manhattan, NY ",New York,40.743373,-73.983626,"10016"
Katz Realty,House for sale,1375000.0,5,4,2704.0,"19 Bascom Pl","Staten Island, NY ",United States,40.606711,-74.1447092,"10314"
Brown Harris Stevens,Co-op for sale,280000.0,1,1,1000.0,"8015 6th Ave Apt A1","Brooklyn, NY ",New York,40.6241766,-74.0216837,"11209"
Top Choice Realty LLC,House for sale,899000.0,3,2,1440.0,"40 Adelphi Ave","Staten Island, NY ",United States,40.5159004,-74.2314825,"10309"
Built by Toll Brothers,For sale,2280000.0,2,2,1400.0,The Rockwell # 6E,"New York, NY ",United States,40.7986579,-73.9679035,"10025"
Cross Country Realty,Coming Soon,649000.0,4,3,2184.207862,"194 Carroll St","Brooklyn, NY ",United States,40.6813429,-73.9981509,"11231"
