"brokertitle","type","price","beds","bath","propertysqft","address","state","administrative_area_level_2","latitude","longitude","postcode"
William Raveis New York City,Contingent,595000.0,1,1,2184.207862,"10 Park Ave Unit 11K","New York, NY ",New York,40.7473555,-73.9813841,"10016"
RE MAX Edge,Condo for sale,799000.0,5,2,1500.0,"1025 45th St Unit 4","Brooklyn, NY ",New York,40.6409434,-73.9953527,"11219"
COMPASS,Condo for sale,2110000.0,2,2,1326.0,"327 E 22nd St Unit 6A","Manhattan, NY ",New York,40.7367893,-73.9799267,"10010"
Brown Harris Stevens,Townhouse for sale,4200000.0,5,4,4480.0,"164 W 88th St Unit Townhouse","Manhattan, NY ",United States,40.788437,-73.9731887,"10024"
Keller Williams Legendary,Multi-family home for sale,450000.0,4,2,2184.207862,"93-04 177th St","Jamaica, NY ",United States,40.7065602,-73.7835572,"11433"
"AMERIHOMES REALTY OF NY, INC.",Co-op for sale,385000.0,1,1,779.0,"1625 Emmons Ave Apt 4Y","Brooklyn, NY ",New York,40.5834583,-73.9522667,"11235"
Real Broker NY LLC,House for sale,649999.0,4,1,2184.207862,"118-10 202nd St","Saint Albans, NY ",United States,40.6936825,-73.7495584,"11412"
Myrta55 Real Estate - Myrta 55 Real Estate,Condo for sale,539000.0,2,1,708.0,"307 72nd St Apt 4B","Brooklyn, NY ",New York,40.633546,-74.0266446,"11209"
RE MAX Real Estate Professionals,House for sale,1525000.0,3,2,1650.0,"1139 72nd St","Brooklyn, NY ",United States,40.6242186,-74.0088847,"11228"
RE MAX Real Estate Professionals,Multi-family home for sale,2100000.0,6,2,2720.0,"1068 51st St","Brooklyn, NY ",United States,40.6366874,-73.9984062,"11219"
BESMATCH REAL ESTATE,House for sale,625000.0,3,2,1944.0,"2249 Seward Ave","Bronx, NY ",United States,40.8216537,-73.8465699,"10473"
Chase Global Realty Corp,House for sale,728888.0,4,3,1379.0,"135-16 221st St","Springfield Gardens, NY ",United States,40.6767141,-73.7492797,"11413"
One Manhattan real estate - Upper East Side office,Co-op for sale,739000.0,2,1,2184.207862,"529 E 84th St Apt 2B","New York, NY ",New York,40.7741621,-73.9467221,"10028"
East Coast REALTORS Inc,Multi-family home for sale,1290000.0,3,2,2184.207862,"45-01 Utopia Pkwy","Flushing, NY ",United States,40.7554032,-73.7924388,"11358"
Exp Realty,Multi-family home for sale,675000.0,3,2,1750.0,"756 Calhoun Ave","Bronx, NY ",United States,40.8266591,-73.824848,"10465"
"Sari Kingsley, Real Estate",Contingent,950000.0,3,2,1364.0,"221 Edinboro Rd","Staten Island, NY ",United States,40.5781512,-74.1348919,"10306"
Infinity LUXXE Estates LLC,House for sale,550000.0,3,2,1221.0,"10229 Davenport Ct","Howard Beach, NY ",United States,40.653784,-73.8286059,"11414"
Serhant LLC,House for sale,1099999.0,3,1,1100.0,"19-36 75th St","East Elmhurst, NY ",United States,40.7709973,-73.8950248,"11370"
REALHome Services & Solutions,Multi-family home for sale,906300.0,8,4,3116.0,"1017 Dumont Ave","Brooklyn, NY ",United States,40.668499,-73.8810259,"11208"
Corcoran Chelsea/Flatiron,Co-op for sale,5900000.0,3,4,3000.0,"410 W 24th St # 18BCE","New York, NY ",New York,40.7472085,-74.0013378,"10011"
COMPASS,Condo for sale,2700000.0,3,3,1689.0,"555 W 59th St Apt 19B","Manhattan, NY ",New York,40.7715251,-73.9895943,"10019"
Realty Executives Today,House for sale,659000.0,4,2,2184.207862,"130-35 145th St","Jamaica, NY ",United States,40.6695117,-73.7942558,"11436"
"Modern Spaces, LLC",Condo for sale,898000.0,1,2,1340.0,"215 Cornelia St Unit 1A","Brooklyn, NY ",New York,40.6928399,-73.9131908,"11221"
COMPASS,Co-op for sale,189990.0,1,1,2184.207862,"151-31 88th St Unit 2F","Howard Beach, NY ",New York,40.6668092,-73.8471901,"11414"
Rock Realty Inc,Multi-family home for sale,2150000.0,6,2,2184.207862,"12-11 Jackson Ave","Long Island City, NY ",United States,40.7438369,-73.9505652,"11101"
COMPASS,Co-op for sale,550000.0,3,1,2184.207862,"24 5th Ave Apt 510","Manhattan, NY ",New York,40.7330596,-73.9959886,"10011"
Douglas Elliman  -111 Fifth Ave,Co-op for sale,2100000.0,3,3,1968.0,"285 Riverside Dr Apt 11G","New York, NY ",New York,40.7989206,-73.9723967,"10025"
Douglas Elliman - Syosset,Pending,1088888.0,3,4,2550.0,"163-36 98th St","Howard Beach, NY ",United States,40.6520565,-73.8335563,"11414"
